portal_id	tax_phylum	tax_class	tax_order	eco_term
Antsi1	Basidiomycota	Agaricomycetes	Polyporales	Brown_rot_fungi
Bjead1_1	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
Cersu1	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
Daequ1	Basidiomycota	Agaricomycetes	Polyporales	Brown_rot_fungi
Dicsqu18370_1	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
Fibra1	Basidiomycota	Agaricomycetes	Polyporales	Brown_rot_fungi
Fompi3	Basidiomycota	Agaricomycetes	Polyporales	Brown_rot_fungi
Gansp1	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
Laesu1	Basidiomycota	Agaricomycetes	Polyporales	Brown_rot_fungi
Lenti7_1	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
Obbri1	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
Phchr2	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
Phlbr1	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
Phlgi1	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
Polbr1	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
PosplRSB12_1	Basidiomycota	Agaricomycetes	Polyporales	Brown_rot_fungi
Pycco1	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
Rigmic1	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
Trave1	Basidiomycota	Agaricomycetes	Polyporales	White_rot_fungi
Wolco1	Basidiomycota	Agaricomycetes	Polyporales	Brown_rot_fungi
