portal_id	tax_phylum	tax_class	tax_order	eco_term
Aspquag1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspquaf1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asptetr1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspsublat1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspden1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspnid1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspfove1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspacri1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspcle1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspne1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspind2_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspsim1_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspfalc1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspfru1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asprec1_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspnav1_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspdese1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspstec1_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspmul1_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspmic1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspung1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspstel1_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspven1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspdro1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspmir1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspfili1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspoli1_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspund1_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspcreb1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asppuu1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspten1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspamoe1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspve1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspsy1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspaurlat1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspvar1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspaura1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspcru1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspspe1_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspkar1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspamy1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspcalif1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspegy1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspger1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspth1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspkev1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspins1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspcal1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asppdef1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspcar1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asphethal1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asppust1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspgra1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspluc1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspsil1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspbisp1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspoch1432_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspram1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspoch1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspramb1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspfuni1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspbip1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspimp1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asphai1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspaste1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asptu1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspcos1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspneo1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspfo1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspka1_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asppip1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspeuc1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspvad1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asplac1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspni_DSM_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspni_bvT_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspni7	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspni_NRRL3_1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspph1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspwel1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspbr1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspca3	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspscl1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspibe1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspscle1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspell1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asphet1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspbru1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspfij1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspacu1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asptri1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspac1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspflor1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspjap1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspvio1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspind1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspuva1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspsac1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asphom1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asppar1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asptra1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspnovo1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspser1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspara19utr	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asppari1				N/A
Aspor1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspfl1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspmin1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Aspcae1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asppsec1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
Asppset1	Ascomycota	Eurotiomycetes	Eurotiales	N/A
